sent_id,sentence,raw_entities,countries
681,"September 28 : John Paul I dies, his papacy being one of the shortest in history.
October 1 : Independence of Tuvalu from Britain.
October 9 : The Uganda–Tanzania War begins.
October 16 : John Paul II becomes pope.
","['Britain', 'Uganda']",['united kingdom']
686,"December 29 : The current Constitution of Spain comes into effect, which for some marks the completion of the Spanish transition to democracy .
","['Spain', 'Spanish']",['spain']
696,"June : Arrival of Pope John Paul II in Poland , eventually sparking the Solidarity movement .
",['Poland'],['poland']
698,"October 15 : Beginning of the Salvadoran Civil War .
October 26 : Assassination of Park Chung Hee , President of South Korea.
November 4 : The Iran hostage crisis begins.
","['South Korea', 'Iran']","['iran', 'south korea']"
710,"July 1 : Adoption of "" O Canada "" as the national anthem of Canada .
","['Canada', 'Canada']",['canada']
712,"August 31 : Solidarity union forms at Poland's Gdańsk Shipyard under Lech Wałęsa , and begins agitation for greater personal freedoms.
",['Poland'],['poland']
713,"September 22 : Beginning of the Iran–Iraq War .
November 13 : Voyager 1 takes the first close-up pictures of Saturn .
",['Iran'],['iran']
719,"1981
January 1 : Greece joins the European Communities .
",['Greece'],['greece']
721,"Iran releases the 52 U.S. hostages held in Tehran after 444 days.
","['Iran', 'U.S.', 'Tehran']","['iran', 'united states']"
723,"Iran releases the 52 U.S. hostages held in Tehran after 444 days.
","['Iran', 'U.S.', 'Tehran']","['iran', 'united states']"
724,"March 30 : Assassination attempt on U.S. president Ronald Reagan.
",['U.S.'],['united states']
730,"December 13 : Martial law in Poland begins.
",['Poland'],['poland']
732,"April 25 : Israel withdraws from Sinai Peninsula .
","['Israel', 'Sinai Peninsula']",['israel']
740,"December 10 : End of dictatorship in Argentina .
",['Argentina'],['argentina']
741,"1984
June 1 – 10 : Indian Armed Forces launch Operation Blue Star against Sikh separatists in Punjab, India, leading to thousands of civilian deaths.
","['Punjab', 'India']",['india']
743,"December 19 : Sino-British Joint Declaration agrees to hand Hong Kong back to China by 1997.
","['Sino-British', 'Hong Kong', 'China']",['china']
746,"Beginning of the 1983–1985 famine in Ethiopia and the 1984–85 UK miners' strike .
","['Ethiopia', 'UK']",['united kingdom']
749,"March 15 : End of military leadership in Brazil .
",['Brazil'],['brazil']
752,"August 20 : Beginning of the Iran–Contra affair , a political scandal in the United States that occurred during the second term of the Reagan Administration involving the sale of arms to the Khomeini government of the Islamic Republic of Iran.
","['Iran', 'Contra', 'the United States', 'the Islamic Republic of Iran']",['iran']
759,"1986
January 1 : Portugal and Spain joins the European Communities .
","['Portugal', 'Spain']","['portugal', 'spain']"
762,"February 22 – 25 : The People Power Revolution leads to the end of the dictatorship of Ferdinand Marcos in the Philippines .
",['Philippines'],['philippines']
763,"February 28 : Assassination of Olof Palme , Prime Minister of Sweden.
",['Sweden'],['sweden']
765,"Return of Halley's Comet .
April 15 : U.S. planes bomb Libya in Operation El Dorado Canyon .
April 26 : The Chernobyl disaster in Ukraine kills about 100 people.
October 11 – October 12 : A breakthrough in nuclear arms control at the Reykjavík Summit .
October 19 : Samora Machel , the first President of Mozambique , dies in a plane crash .
November 3 : The Iran–Contra affair publicly announced.
","['U.S.', 'Libya', 'Operation El Dorado Canyon', 'Ukraine', 'Mozambique', 'Iran']","['iran', 'united states']"
766,"1987
June 10 – 29 : The June Democratic Struggle , a nationwide pro-democracy movement in South Korea, leads to democratic reforms and an end to authoritarian rule.
",['South Korea'],['south korea']
768,"September 13 : A radioactive contamination accident in Goiânia, Brazil, leaves 249 people contaminated, four of which die.
September 15 :","['Goiânia', 'Brazil']",['brazil']
769,"Huawei founded in Shenzhen , China by Ren Zhengfei .
October 19 : Stock market crash of 1987.
","['Shenzhen', 'China']",['china']
772,December 8 : The First Intifada between Israel and Palestine begins.,"['Israel', 'Palestine']",['israel']
773,"The Intermediate-Range Nuclear Forces Treaty is signed in Washington, D.C., by U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev.
","['Washington', 'D.C.', 'U.S.', 'Soviet']",['united states']
774,"The First Intifada between Israel and Palestine begins.
","['Israel', 'Palestine']",['israel']
775,"The Intermediate-Range Nuclear Forces Treaty is signed in Washington, D.C., by U.S. President Ronald Reagan and Soviet leader Mikhail Gorbachev.
","['Washington', 'D.C.', 'U.S.', 'Soviet']",['united states']
780,"August 20 : End of the Iran–Iraq War .
",['Iran'],['iran']
781,"October 5 : Chile's Augusto Pinochet loses a national plebiscite on his rule.
",['Chile'],['chile']
784,"December 2 : Benazir Bhutto elected Prime Minister of Pakistan months after restoration of civilian rule in the wake of Muhammad Zia-ul-Haq 's death in plane crash.
December 7 : Spitak earthquake in Armenia.
","['Pakistan', 'Armenia']",['pakistan']
792,"January 7 : Emperor Shōwa (Hirohito) dies; his son, Akihito (the Emperor Heisei) becomes Emperor of Japan.
",['Japan'],['japan']
800,"June 3 : Ruhollah Khomeini dies ; Ali Khamenei becomes Supreme Leader of Iran .
June 4 : 1989 Polish legislative election although the elections were not entirely democratic, they led to the formation of a government led by Tadeusz Mazowiecki and a peaceful transition to democracy in Poland and elsewhere in Central and Eastern Europe.","['Iran', 'Polish', 'Poland']","['iran', 'poland']"
803,"1989 Polish legislative election although the elections were not entirely democratic, they led to the formation of a government led by Tadeusz Mazowiecki and a peaceful transition to democracy in Poland and elsewhere in Central and Eastern Europe.
","['Polish', 'Poland']",['poland']
808,"Fall of the Berlin Wall ; the Revolutions of 1989 and the collapse of the Soviet Bloc begin in Europe, which leads to the end of the Cold War .
November 15 – December 17 : The first direct Presidential election in Brazil since 1960.
","['Soviet', 'Europe', 'Brazil']",['brazil']
809,"November 24 : The Communist government of Czechoslovakia falls during the Velvet Revolution .
","['Communist', 'Czechoslovakia']",['czechoslovakia']
813,"December 25 : Romanian Revolution : Trial and execution of Nicolae and Elena Ceaușescu in Romania.
1990s
1990
January 31 : The first McDonald's in Moscow, Russian SFSR opens 8 months after construction began on May 3, 1989
February 11 : Nelson Mandela is released from Victor Verster Prison outside Cape Town , South Africa after 27 years as a political prisoner.
","['Nicolae', 'Elena Ceaușescu', 'Romania', 'Moscow', 'Russian', 'Cape Town', 'South Africa']",['south africa']
814,"March 11 : End of the dictatorship of Augusto Pinochet in Chile .
",['Chile'],['chile']
816,"April 24 – May 20 : Launch of the Hubble Space Telescope .
April 7 : Scandinavian Star , a Bahamas -registered ferry, catches fire en route from Norway to Denmark, leaving 158 dead.
","['Bahamas', 'Norway', 'Denmark']","['denmark', 'norway']"
818,"June 21 : The 7.4 M w Manjil–Rudbar earthquake affects northern Iran with a maximum Mercalli intensity of X ( Extreme ), killing 35,000–50,000, and injuring 60,000–105,000.
August 2 – 4 : Gulf War begins.
September 6 :",['Iran'],['iran']
828,"May 16 : Elizabeth II becomes the first British monarch to address the U.S. Congress during a 13-day royal visit in Washington, D.C.
May 21 : Assassination of Rajiv Gandhi , Indian Prime Minister.
","['British', 'U.S.', 'Washington', 'D.C.', 'Indian']",['united states']
829,"May 24 – 25 : Operation Solomon , a covert Israeli military operation to airlift Ethiopian Jews to Israel.
","['Israeli', 'Ethiopian', 'Jews', 'Israel']",['israel']
831,"The world's first GSM telephone call is made in Finland .
",['Finland'],['finland']
832,"The world's first GSM telephone call is made in Finland .
",['Finland'],['finland']
833,"July 10 : Boris Yeltsin becomes the first President of Russia .
",['Russia'],['russia']
835,"It is seen by 20 million people in Hawaii , Mexico , and Colombia .
","['Hawaii', 'Mexico', 'Colombia']",['mexico']
854,"Fuel leaking into a sewer causes a series of explosions in Guadalajara , Mexico; 215 are killed, 1,500 injured.
April 29 – May 4 : Los Angeles riots over the acquittal of those involved in the beating of Rodney King .
","['Guadalajara', 'Mexico', 'Los Angeles']",['mexico']
855,"May 13 : Falun Gong is introduced by Li Hongzhi in China.
June 8 : The first World Oceans Day is celebrated, coinciding with the Earth Summit held in Rio de Janeiro , Brazil .
","['China', 'the Earth Summit', 'Rio de Janeiro', 'Brazil']","['brazil', 'china']"
865,"February 28 – April 19 : The Waco siege , the law enforcement siege of the compound that belonged to the Seventh-day Adventist religious sect Branch Davidians near Waco, Texas , carried out by the U.S. federal government, Texas state law enforcement, and the U.S. military, which results in a gunfight, a fire at the compound and 86 deaths.
","['Branch Davidians', 'Waco', 'Texas', 'U.S.', 'Texas', 'U.S.']",['united states']
866,"March 12 : Several bombs explode in Bombay , India, killing 257 and injuring hundreds more.
","['Bombay', 'India']",['india']
869,"September 13 : Oslo accords end First Intifada between Israel and Palestine .
","['Israel', 'Palestine']",['israel']
882,"May 10 : End of apartheid in South Africa and election of Nelson Mandela .
",['South Africa'],['south africa']
883,"June 15 : Release date of Disney's The Lion King .
June 23 : Release date of Forrest Gump .
July 1 : Plano Real introduces the new real currency in Brazil.
",['Brazil'],['brazil']
886,"Kim Jong-il becomes Supreme Leader of North Korea .
",['North Korea'],['north korea']
892,"December 14 : Construction of the Three Gorges Dam begins in Hubei, China.
","['Hubei', 'China']",['china']
893,"Rise of a wave of Palestinian terrorist attacks in Israel .
","['Palestinian', 'Israel']",['israel']
895,"Austria , Finland and Sweden join the European Union .
","['Austria', 'Finland', 'Sweden']","['austria', 'finland', 'sweden']"
897,"Austria , Finland and Sweden join the European Union .
","['Austria', 'Finland', 'Sweden']","['austria', 'finland', 'sweden']"
902,"May 14 : The Dalai Lama proclaims 6-year-old Gedhun Choekyi Nyima as the 11th reincarnation of the Panchen Lama .
June 29 : The Sampoong Department Store collapse , a structural failure in a department store in Seoul, South Korea, kills 502 people and injures other 1,445.
","['the Panchen Lama', 'Seoul', 'South Korea']",['south korea']
916,"April 28 – 29 : The Port Arthur massacre in Tasmania, Australia leaves 35 people dead, leading to tighter gun regulations in Australia.
","['Port Arthur', 'Tasmania', 'Australia', 'Australia']",['australia']
925,"October 24 : The First Congo War begins.
November 1 : Release of DVD in Japan.
",['Japan'],['japan']
928,"Increasing terrorist attacks in Israel.
",['Israel'],['israel']
930,"February 4 : 1997 Israeli helicopter disaster , when two Israeli Air Force transport helicopters ferrying Israeli soldiers into Israel's security zone in southern Lebanon collided in mid-air, killing all 73 Israeli military personnel on board.
March 13 : Island of Peace massacre , a mass murder attack that occurred at the Island of Peace on the Israeli-Jordanian border, in which 7 people were killed and 6 injured.
","['Israeli', 'Israeli', 'Israeli', 'Israel', 'Lebanon', 'Israeli', 'the Island of Peace', 'Israeli']",['israel']
936,"July 1 : Handover of Hong Kong from the United Kingdom to China.
","['Hong Kong', 'the United Kingdom', 'China']",['china']
942,"November 17 : 62 people are killed by 6 Islamic militants outside the Temple of Hatshepsut in Luxor , Egypt .
","['Islamic', 'Luxor', 'Egypt']",['egypt']
946,"February 3 : A United States military pilot causes the deaths of 20 people near Trento , Italy, when his low-flying EA-6B Prowler severs the cable of a cable-car .
","['United States', 'Trento', 'Italy']","['italy', 'united states']"
950,"May 4 – 15 : Riots in Indonesia , including incidents of mass violence, demonstrations, and civil unrest of a racial nature, result in the Fall of Suharto and the independence of East Timor .
June 25 :","['Indonesia', 'East Timor']",['indonesia']
952,"July 17 : Nicholas II of Russia and his family are buried in St. Catherine Chapel, 80 years after he and his family were killed by the Bolsheviks in 1918 .
","['Russia', 'Bolsheviks']",['russia']
963,"A crisis in East Timor , which led to 1,400 deaths, begins.
April 20 : The Columbine High School massacre in Colorado, United States, causes 15 deaths.
","['East Timor', 'Colorado', 'United States']",['united states']
974,December 31 : Vladimir Putin becomes the President of Russia .,['Russia'],['russia']
975,"The U.S. turns over complete administration of the Panama Canal to the Panamanian Government, as stipulated in the Torrijos–Carter Treaties of 1977 .
","['U.S.', 'the Panama Canal']",['united states']
976,"Vladimir Putin becomes the President of Russia .
",['Russia'],['russia']
977,"The U.S. turns over complete administration of the Panama Canal to the Panamanian Government, as stipulated in the Torrijos–Carter Treaties of 1977 .
","['U.S.', 'the Panama Canal']",['united states']
980,"March 10 : Dot-com bubble bursts, causing stock markets worldwide to crash.
March 4 : The Sony PlayStation 2 releases in Japan.",['Japan'],['japan']
984,"March 26 : Vladimir Putin is elected President of Russia .
",['Russia'],['russia']
987,"May 11 : India becomes the second country to reach 1 billion people.
",['India'],['india']
990,"July 1 : The Øresund Bridge between Denmark and Sweden is officially opened for traffic.
","['Denmark', 'Sweden']","['denmark', 'sweden']"
992,"July 11 – 25 : The 2000 Camp David Summit , aimed at reaching a ""final status"" agreement between the Palestinians and the Israelis, was held between United States president Bill Clinton , Israeli prime minister Ehud Barak and Palestinian Authority chairman Yasser Arafat .
","['Palestinians', 'Israelis', 'United States', 'Israeli']",['united states']
994,"July 25 : Concorde Air France Flight 4590 crashes in France , killing 113 including all people aboard.
",['France'],['france']
997,"September 13 : Steve Jobs introduces the public beta of Mac OS X .
September 26 : The Greek ferry Express Samina sinks off the coast of the island of Paros ; 80 out of a total of over 500 passengers perish in one of Greece's worst sea disasters.
","['Greek', 'Paros', 'Greece']",['greece']
1000,"December 25 : The Luoyang Christmas fire at a shopping center in China kills 309 people.
","['Luoyang', 'China']",['china']
